PROV273;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;x
PROV274;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;x
PROV276;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;x
PROV277;Lerpwl;Lerpwl;Lerpwl;Lerpwl;Lerpwl;Lerpwl;Lerpwl;Lerpwl;Lerpwl;Lerpwl;Lerpwl;Lerpwl;Lerpwl;x
PROV278;Manceinon;Manceinon;Manceinon;Manceinon;Manceinon;Manceinon;Manceinon;Manceinon;Manceinon;Manceinon;Manceinon;Manceinon;Manceinon;x
PROV298;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;x
PROV300;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;x
PROV320;Ubmi;Ubmi;Ubmi;Ubmi;Ubmi;Ubmi;Ubmi;Ubmi;Ubmi;Ubmi;Ubmi;Ubmi;Ubmi;x
PROV334;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;x
PROV349;Tallinn;Tallinn;Tallinn;Tallinn;Tallinn;Tallinn;Tallinn;Tallinn;Tallinn;Tallinn;Tallinn;Tallinn;Tallinn;x
PROV393;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;x
PROV394;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;x
PROV424;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;x
PROV432;Bisanz;Bisanz;Bisanz;Bisanz;Bisanz;Bisanz;Bisanz;Bisanz;Bisanz;Bisanz;Bisanz;Bisanz;Bisanz;x
PROV489;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;x
PROV493;Iruña;Iruña;Iruña;Iruña;Iruña;Iruña;Iruña;Iruña;Iruña;Iruña;Iruña;Iruña;Iruña;x
PROV503;Balansiyah;Balansiyah;Balansiyah;Balansiyah;Balansiyah;Balansiyah;Balansiyah;Balansiyah;Balansiyah;Balansiyah;Balansiyah;Balansiyah;Balansiyah;x
PROV505;al-Laqant;al-Laqant;al-Laqant;al-Laqant;al-Laqant;al-Laqant;al-Laqant;al-Laqant;al-Laqant;al-Laqant;al-Laqant;al-Laqant;al-Laqant;x
PROV506;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;x
PROV508;al-Basit;al-Basit;al-Basit;al-Basit;al-Basit;al-Basit;al-Basit;al-Basit;al-Basit;al-Basit;al-Basit;al-Basit;al-Basit;x
PROV510;Qurtubah;Qurtubah;Qurtubah;Qurtubah;Qurtubah;Qurtubah;Qurtubah;Qurtubah;Qurtubah;Qurtubah;Qurtubah;Qurtubah;Qurtubah;x
PROV512;al-Qâdis;al-Qâdis;al-Qâdis;al-Qâdis;al-Qâdis;al-Qâdis;al-Qâdis;al-Qâdis;al-Qâdis;al-Qâdis;al-Qâdis;al-Qâdis;al-Qâdis;x
PROV515;al-Mariyya;al-Mariyya;al-Mariyya;al-Mariyya;al-Mariyya;al-Mariyya;al-Mariyya;al-Mariyya;al-Mariyya;al-Mariyya;al-Mariyya;al-Mariyya;al-Mariyya;x
PROV517;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;x
PROV524;Shatûbar;Shatûbar;Shatûbar;Shatûbar;Shatûbar;Shatûbar;Shatûbar;Shatûbar;Shatûbar;Shatûbar;Shatûbar;Shatûbar;Shatûbar;x
PROV575;Keulen;Keulen;Keulen;Keulen;Keulen;Keulen;Keulen;Keulen;Keulen;Keulen;Keulen;Keulen;Keulen;x
PROV576;Aken;Aken;Aken;Aken;Aken;Aken;Aken;Aken;Aken;Aken;Aken;Aken;Aken;x
PROV577;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;x
PROV619;Bécs;Bécs;Bécs;Bécs;Bécs;Bécs;Bécs;Bécs;Bécs;Bécs;Bécs;Bécs;Bécs;x
PROV624;Kismarton;Kismarton;Kismarton;Kismarton;Kismarton;Kismarton;Kismarton;Kismarton;Kismarton;Kismarton;Kismarton;Kismarton;Kismarton;x
PROV627;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;x
PROV647;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;x
PROV652;Timisoara;Timisoara;Timisoara;Timisoara;Timisoara;Timisoara;Timisoara;Timisoara;Timisoara;Timisoara;Timisoara;Timisoara;Timisoara;x
PROV654;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;x
PROV659;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;x
PROV674;Kyustendzha;Kyustendzha;Kyustendzha;Kyustendzha;Kyustendzha;Kyustendzha;Kyustendzha;Kyustendzha;Kyustendzha;Kyustendzha;Kyustendzha;Kyustendzha;Kyustendzha;x
PROV676;Kišineu;Kišineu;Kišineu;Kišineu;Kišineu;Kišineu;Kišineu;Kišineu;Kišineu;Kišineu;Kišineu;Kišineu;Kišineu;x
PROV683;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;x
PROV684;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;x
PROV693;Truso;Truso;Truso;Truso;Truso;Truso;Truso;Truso;Truso;Truso;Truso;Truso;Truso;x
PROV695;Twangste;Twangste;Twangste;Twangste;Twangste;Twangste;Twangste;Twangste;Twangste;Twangste;Twangste;Twangste;Twangste;x
PROV696;Olštinas;Olštinas;Olštinas;Olštinas;Olštinas;Olštinas;Olštinas;Olštinas;Olštinas;Olštinas;Olštinas;Olštinas;Olštinas;x
PROV697;Gumbine;Gumbine;Gumbine;Gumbine;Gumbine;Gumbine;Gumbine;Gumbine;Gumbine;Gumbine;Gumbine;Gumbine;Gumbine;x
PROV698;Klaipeda;Klaipeda;Klaipeda;Klaipeda;Klaipeda;Klaipeda;Klaipeda;Klaipeda;Klaipeda;Klaipeda;Klaipeda;Klaipeda;Klaipeda;x
PROV699;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;x
PROV719;Balstoge;Balstoge;Balstoge;Balstoge;Balstoge;Balstoge;Balstoge;Balstoge;Balstoge;Balstoge;Balstoge;Balstoge;Balstoge;x
PROV767;Marburg;Marburg;Marburg;Marburg;Marburg;Marburg;Marburg;Marburg;Marburg;Marburg;Marburg;Marburg;Marburg;x
PROV768;Laibach;Laibach;Laibach;Laibach;Laibach;Laibach;Laibach;Laibach;Laibach;Laibach;Laibach;Laibach;Laibach;x
PROV958;Kyiv;Kyiv;Kyiv;Kyiv;Kyiv;Kyiv;Kyiv;Kyiv;Kyiv;Kyiv;Kyiv;Kyiv;Kyiv;x
PROV1036;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;x
PROV1039;Sarïsu;Sarïsu;Sarïsu;Sarïsu;Sarïsu;Sarïsu;Sarïsu;Sarïsu;Sarïsu;Sarïsu;Sarïsu;Sarïsu;Sarïsu;x
PROV1044;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;x
PROV2533;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;x
PROV2538;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;x
